,Albanian,Amharic,Arabic,Armenian,Asue Awyu,Austronesian (Other),Basque,Belarussian,Bengali,Bosnian,Bulgarian,Burmese,Cebuano,Central Huasteca Nahuatl,Chechen,Cherokee,Chinese,Choctaw,Cree,Creek,Creoles and Pidgins,"Creoles and Pidgins, French-based (Other)",Croatian,Czech,Dakota,Danish,Dutch,English,Esperanto,Estonian,Finnish,French,German,Germanic,Greek,Gujarati,Hawaiian,Hebrew,Hindi,Hmong,Hungarian,Icelandic,Iloko,Indonesian,Inupiaq,Iranian,Irish,Italian,Japanese,Khmer,Korean,Kurdish,Ladino,Latvian,Lithuanian,Macedonian,Malayalam,Marathi,Mohawk,Multiple,Navajo,Negidal,No Linguistic Content,Northwest Alaska Inupiatun,Norwegian,Panjabi,Persian,Polish,Portuguese,Romanian,Russian,Samaritan Aramaic,Samoan,Serbian,Slovak,Slovenian,Sorbian,Spanish,Swedish,Syriac,Tagalog,Tajik,Tamil,Thai,Turkish,Ukrainian,Urdu,Uzbek,Vietnamese,Welsh,Yiddish,Yupik
1690,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,1586,0,0,3,7,31,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1700,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,1584,0,0,3,7,31,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1710,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,1588,0,0,3,7,31,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1720,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,1601,0,0,3,7,31,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1730,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,1609,0,0,3,7,34,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1740,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,1624,0,0,3,7,35,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1750,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,1648,0,0,3,7,37,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1760,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1,1,1685,0,0,3,7,36,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1770,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1,1,1768,0,0,3,8,40,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1780,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1,2,1976,0,0,3,18,42,0,2,0,0,0,0,0,3,0,0,0,0,0,0,18,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,11,0,0,1,0,1,0,24,6,0,0,0,1,0,0,0,0,0,0,0,3,0
1790,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,1,6,0,0,0,0,0,2,5,0,3,4,6814,0,0,17,45,188,1,2,0,0,2,0,0,3,0,0,0,0,0,0,21,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,3,14,1,1,12,0,0,1,0,1,0,56,31,2,0,0,1,0,3,0,0,0,0,1,3,0
1800,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,1,6,0,0,0,0,0,2,5,0,6,4,7177,0,0,17,53,206,1,2,0,0,2,0,0,3,0,0,0,0,0,0,21,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,3,14,1,1,12,0,0,1,0,1,0,61,31,2,0,0,1,0,3,0,0,0,0,1,3,0
